method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
HCMAGRL,M4_A3_R6_J3,1.0,0.0,1769.3,26.81486233612358,211.6,82.64406878453624,20,C2,0.1584141568827634,0.12370323797547939,0.1584141568827634,3.0
HCMAGRL,M4_A3_R8_J4,0.0,1.0,3306.0166666666664,116.16512370290965,233.45,69.95297292504895,20,C3,0.0,0.11991247264770238,0.11991247264770238,2.0
HCMAGRL,M4_A3_R8_J4,0.25,0.75,3096.733333333333,171.59084852708673,241.4,78.13106397518683,20,C3,0.0,0.0,0.0,1.0
HCMAGRL,M4_A3_R8_J4,0.5,0.5,2954.6583333333333,95.4923296114399,269.9,65.81385232528739,20,C3,0.0,0.20725388601036263,0.10362694300518131,1.0
HCMAGRL,M4_A3_R8_J4,0.75,0.25,3079.7666666666664,114.36108302189828,241.85,64.87418998581632,20,C3,0.10256720024161865,0.03204134366925059,0.08493573609852664,2.0
HCMAGRL,M4_A3_R8_J4,1.0,0.0,3204.575,90.90536295851788,332.6,95.07083231935407,20,C3,0.16913015042511498,0.2940685045948204,0.16913015042511498,2.0
HCMAGRL,M4_A4_R4_J2,0.0,1.0,1013.55,29.12190048261444,178.3,23.037954953099735,20,C4,0.15765472312703574,0.5081316937723126,0.5081316937723126,5.0
HCMAGRL,M4_A4_R4_J2,0.25,0.75,924.1166666666666,34.30552016003097,102.0,0.0,20,C4,0.0,0.0,0.0,1.0
HCMAGRL,M4_A4_R4_J2,0.5,0.5,1037.3333333333337,0.0,186.0,0.0,20,C4,0.2729829040661073,0.6092791411042946,0.441131022585201,5.0
HCMAGRL,M4_A4_R4_J2,0.75,0.25,957.3333333333334,12.83635188924646,102.0,0.0,20,C4,0.07420195898809107,0.0,0.0556514692410683,4.0
HCMAGRL,M4_A4_R4_J2,1.0,0.0,1010.6333333333334,30.281891989374557,198.25,21.768821257646646,20,C4,0.22113206261604235,0.5337601862630966,0.22113206261604235,3.0
HCMAGRL,M4_A4_R6_J3,0.0,1.0,2569.0666666666666,245.33194126225945,294.75,57.173673551455664,20,C5,0.3439673493044821,0.11272015655577301,0.11272015655577301,4.0
HCMAGRL,M4_A4_R6_J3,0.25,0.75,2233.708333333333,57.188435704804874,266.6,80.63785189285944,20,C5,0.0,0.0,0.0,1.0
HCMAGRL,M4_A4_R6_J3,0.5,0.5,2228.333333333333,67.69727507537935,317.65,75.01106935856724,20,C5,0.0,0.3812590565126388,0.1906295282563194,1.0
HCMAGRL,M4_A4_R6_J3,0.75,0.25,2215.1249999999995,61.196975496682214,298.85,63.45099642533929,20,C5,0.0,0.0977896851975889,0.024447421299397226,1.0
HCMAGRL,M4_A4_R6_J3,1.0,0.0,2168.808333333333,29.925114870289153,205.25,27.476066139939245,20,C5,0.0,0.0,0.0,1.0
HCMAGRL,M4_A4_R8_J4,0.0,1.0,4474.258333333333,217.24690507152937,375.45,87.03748436283374,20,C6,1.0,0.3632567849686847,0.3632567849686847,5.0
HCMAGRL,M4_A4_R8_J4,0.25,0.75,4081.7833333333338,55.83622930431449,280.55,64.97406365134029,20,C6,0.4960984182776813,0.03011785246617204,0.14661299391904936,4.0
HCMAGRL,M4_A4_R8_J4,0.5,0.5,3971.9416666666666,76.5148434745171,308.85,107.666285100622,20,C6,0.18960168755428738,0.13303167420814485,0.16131668088121612,4.0
HCMAGRL,M4_A4_R8_J4,0.75,0.25,3815.3,99.45888098027213,284.35,51.70694242301359,20,C6,0.0070274211187168,0.011540356062205338,0.008155654854588934,2.0
HCMAGRL,M4_A4_R8_J4,1.0,0.0,3623.8833333333337,32.88617175041304,255.25,31.186830891461728,20,C6,0.044434505800952276,0.07126402243589744,0.044434505800952276,3.0
HCMAGRL,M4_A5_R4_J2,0.0,1.0,1185.55,48.5684270412699,251.55,70.84562535244464,20,C7,1.0,0.5813492063492066,0.5813492063492066,7.0
HCMAGRL,M4_A5_R4_J2,0.25,0.75,817.6,38.39668297077098,219.0,0.0,20,C7,0.0,0.20573440643863172,0.1543008048289738,3.0
